Medicao,,,,,,
id,date,time,z_freq1,z_freq2,z_freq3,structure
5,2021-01-01,11:00:00,1.0453,1.74216,2.78746,Baloico
6,2021-01-02,11:00:00,0.981997,1.96399,2.94599,Baloico
7,2021-01-03,11:00:00,1.02339,1.46199,2.04678,Baloico
8,2021-01-04,11:00:00,0.992908,1.34752,2.05674,Baloico
9,2021-01-05,11:00:00,0.96,1.92,2.88,Baloico
10,2021-01-06,11:00:00,1.02639,2.05279,2.93255,Baloico
11,2021-01-07,11:00:00,0.977199,1.9544,2.9316,Baloico
12,2021-01-08,11:00:00,0.965517,1.93103,2.89655,Baloico
13,2021-01-09,11:00:00,1.10092,2.01835,3.11927,Baloico
14,2021-01-10,11:00:00,1.04046,2.08092,2.89017,Baloico
22,2021-01-11,11:00:00,1.01449,1.88406,2.75362,Baloico
23,2021-01-12,11:00:00,0.912409,2.0073,2.91971,Baloico
30,2021-09-15,12:00:00,5.21127,9.29577,20.2817,passagemRigidaCG
31,2021-09-15,12:05:00,5.16796,9.30233,20.2842,passagemRigidaCG
32,2021-09-15,12:10:00,5.25641,9.35897,20.2564,passagemRigidaCG
33,2021-09-15,12:15:00,5.38793,9.26724,20.2586,passagemRigidaCG
34,2021-09-15,12:20:00,5.52147,9.40695,20.0409,passagemRigidaCG
35,2021-09-15,12:25:00,5.26316,9.17293,20.3008,passagemRigidaCG
36,2021-09-15,12:30:00,5.30035,9.36396,20.318,passagemRigidaCG
37,2021-09-15,12:35:00,5.10783,9.3076,20.3178,passagemRigidaCG
38,2021-09-15,12:40:00,5.30368,9.32421,20.2737,passagemRigidaCG
39,2021-09-15,12:45:00,5.22541,9.42623,20.2869,passagemRigidaCG
40,2021-09-15,12:50:00,5.27927,9.33435,20.352,passagemRigidaCG
41,2021-09-15,12:55:00,5.26932,9.71897,20.2576,passagemRigidaCG
42,2021-09-15,13:00:00,5.21236,9.45946,20.2703,passagemRigidaCG
43,2021-09-15,13:05:00,5.27307,9.46328,20.2448,passagemRigidaCG
44,2021-09-15,13:10:00,5.19481,9.50103,20.3008,passagemRigidaCG
45,2021-09-15,13:15:00,5.24017,9.38865,20.1965,passagemRigidaCG
46,2021-10-08,14:40:00,1.03788,2.07577,4.56668,Itacaiunas Nova E5
47,2021-10-08,15:00:00,1.04799,2.09597,4.57805,Itacaiunas Nova E5
48,2021-10-08,15:20:00,1.05234,2.07699,4.54168,Itacaiunas Nova E5
49,2021-10-08,15:40:00,1.02201,2.08333,4.55975,Itacaiunas Nova E5
50,2021-10-08,16:00:00,1.06007,2.12014,4.68198,Itacaiunas Nova E5
51,2021-10-08,14:00:00,1.77239,2.05224,2.89179,Itacaiunas Nova E2
52,2021-10-08,14:20:00,1.73776,2.05371,2.89626,Itacaiunas Nova E2
56,2021-10-08,15:30:00,2.63158,2.88221,3.82206,Itacaiunas Velha E2
57,2021-10-08,15:30:00,1.46765,2.86858,5.87058,Itacaiúnas velha E5
58,2021-10-08,15:40:00,1.71504,2.04485,2.90237,Itacaiunas Nova E2
59,2021-10-08,16:20:00,1.0566,2.03774,4.5283,Itacaiunas Nova E5
60,2021-10-08,17:00:00,1.7134,2.1028,2.88162,Itacaiunas Nova E2
61,2021-10-11,14:11:00,1.77665,2.03046,2.91878,Itacaiunas Nova E2
62,2021-10-11,14:20:00,1.76651,2.07373,2.91859,Itacaiunas Nova E2
63,2021-10-11,14:25:00,1.07239,2.09115,4.61126,Itacaiunas Nova E5
65,2021-10-11,14:30:00,1.04322,2.08644,4.54545,Itacaiunas Nova E5
67,2021-10-11,14:35:00,1.01967,2.03933,4.58849,Itacaiunas Nova E5
68,2021-10-11,14:37:00,1.66359,1.84843,2.77264,Itacaiunas Nova E2
69,2021-10-11,14:40:00,1.76871,2.04082,2.85714,Itacaiunas Nova E2
70,2021-10-11,14:43:00,1.60428,2.13904,2.85205,Itacaiunas Nova E2
71,2021-10-11,17:40:00,1.03627,2.07254,4.62867,Itacaiunas Nova E5
72,2021-10-11,14:43:00,1.48368,2.86845,5.83581,Itacaiúnas velha E5
73,2021-10-11,14:48:00,1.44796,2.80543,5.79186,Itacaiúnas velha E5
74,2021-10-11,18:00:00,1.03941,2.03551,4.59073,Itacaiunas Nova E5
75,2021-10-11,14:50:00,1.36752,2.73504,5.81197,Itacaiúnas velha E5
76,2021-10-11,14:52:00,1.45719,2.73224,5.82878,Itacaiúnas velha E5
77,2021-10-11,14:55:00,1.65094,2.12264,2.83019,Itacaiunas Nova E2
78,2021-10-11,18:20:00,1.03,2.06001,4.56785,Itacaiunas Nova E5
79,2021-10-11,14:58:00,1.74081,2.12766,2.90135,Itacaiunas Nova E2
