Medicao,,,,,,
id,date,time,z_freq1,z_freq2,z_freq3,structure
,2022-03-10,08:00:00,2.69886,2.84091,3.83523,Itacaiunas Velha E2
,2022-03-10,08:00:00,1.48096,2.82087,5.85331,Itacaiúnas velha E5
,2022-03-10,08:00:00,1.75932,2.04082,2.95567,Itacaiunas Nova E2
,2022-03-10,08:00:00,1.06082,2.12164,4.66761,Itacaiunas Nova E5
,2022-03-16,08:00:00,2.68551,2.82686,3.81625,Itacaiunas Velha E2
,2022-03-16,08:00:00,1.50892,2.88066,5.8299,Itacaiúnas velha E5
,2022-03-16,08:00:00,1.70334,1.98722,2.90987,Itacaiunas Nova E2
,2022-03-16,08:00:00,1.06082,2.05092,4.59689,Itacaiunas Nova E5
,2022-03-22,08:00:00,2.60014,2.81096,3.7948,Itacaiunas Velha E2
,2022-03-22,08:00:00,1.48936,2.83688,5.74468,Itacaiúnas velha E5
,2022-03-22,08:00:00,1.76429,2.89344,3.10515,Itacaiunas Nova E2
,2022-03-22,08:00:00,1.09141,2.04638,4.50205,Itacaiunas Nova E5
,2022-03-29,08:00:00,2.65996,2.87563,3.8821,Itacaiunas Velha E2
,2022-03-29,08:00:00,1.54821,2.88529,5.91133,Itacaiúnas velha E5
,2022-03-29,08:00:00,1.77054,2.05382,2.90368,Itacaiunas Nova E2
,2022-03-29,08:00:00,1.0917,2.03785,4.58515,Itacaiunas Nova E5
,2022-04-06,08:00:00,2.61224,2.85714,3.83673,Itacaiunas Velha E2
,2022-04-06,08:00:00,1.47849,2.88979,5.98118,Itacaiúnas velha E5
,2022-04-06,08:00:00,1.69205,2.03046,2.96108,Itacaiunas Nova E2
,2022-04-06,08:00:00,1.08696,2.0903,4.59866,Itacaiunas Nova E5
,2022-04-12,08:00:00,2.62206,2.80289,3.79747,Itacaiunas Velha E2
,2022-04-12,08:00:00,1.5331,2.85714,5.78397,Itacaiúnas velha E5
,2022-04-12,08:00:00,1.73491,2.08189,2.91464,Itacaiunas Nova E2
,2022-04-12,08:00:00,1.07623,2.06278,4.57399,Itacaiunas Nova E5
